Area_lag0	Circularity_lag0	ClassN2_lag0	Correlation_lag0	Energy_lag0	EqDiameter_lag0	Grey1.0_lag0	Grey2.0_lag0	Grey2.1_lag0	Growth1.0_lag0	Growth2.0_lag0	Growth2.1_lag0	Homogeneity_lag0	MeanGreyValue_lag0	Perimeter_lag0	Solidity_lag0	Area_lag+1	Circularity_lag+1	ClassN2_lag+1	Correlation_lag+1	Energy_lag+1	EqDiameter_lag+1	Grey1.0_lag+1	Grey2.0_lag+1	Grey2.1_lag+1	Growth1.0_lag+1	Growth2.0_lag+1	Growth2.1_lag+1	Homogeneity_lag+1	MeanGreyValue_lag+1	Perimeter_lag+1	Solidity_lag+1	Area_lag+2	Circularity_lag+2	ClassN2_lag+2	Correlation_lag+2	Energy_lag+2	EqDiameter_lag+2	Grey1.0_lag+2	Grey2.0_lag+2	Grey2.1_lag+2	Growth1.0_lag+2	Growth2.0_lag+2	Growth2.1_lag+2	Homogeneity_lag+2	MeanGreyValue_lag+2	Perimeter_lag+2	Solidity_lag+2
14979.6022	0.445303919	NA	0.900522923	0.930513589	138.1036635548	NA	NA	NA	NA	NA	NA	0.970690491	590.3841938	650.16983111	0.788972852	15484.4132	0.566734157	NA	0.876501473	0.928974372	140.4114212386	141.1457665	NA	NA	504.811	NA	NA	0.969867541	731.5299603	585.952772618	0.847339343	21845.0318	0.309796438	1	0.881769406	0.898548425	166.7751730404	NA	556.3547002	415.2089337	NA	6865.4296	6360.6186	0.951428398	1146.738894	941.332520494	0.722749648
20611.7341469417	0.5156546605	NA	0.915612438	0.9400453055	161.998996913793	NA	NA	NA	NA	NA	NA	0.9749721555	474.35995375	1165.193611432	0.835660394	23486.996	0.515863591	NA	0.898705048	0.893686603	172.9293847078	422.31154125	NA	NA	2875.26185305825	NA	NA	0.961337692	896.671495	756.3994951	0.867517174	22323.2738	0.711498706	1	0.898857192	0.900240896	168.590850774	NA	539.04364125	116.7321	NA	1711.53965305825	-1163.7222	0.969869988	1013.403595	627.909158764	0.928808313
15851.0654	0.555776785	NA	0.911749016	0.927168031	142.064081629	NA	NA	NA	NA	NA	NA	0.96466866	513.529849	598.665125992	0.84576127	18709.8898	0.676698671	NA	0.914695325	0.915351341	154.3443279362	42.8142081999999	NA	NA	2858.8244	NA	NA	0.961006084	556.3440572	589.444452994	0.907474227	21632.4798	0.728052863	0	0.919672954	0.902881408	165.961829153	NA	79.3820084	36.5678002000001	NA	5781.4144	2922.59	0.95985051	592.9118574	611.04983111	0.941271676
19682.3152	0.302264232	NA	0.906688418	0.908234971	158.304459978	NA	NA	NA	NA	NA	NA	0.963347241	586.0368192	904.58554491	0.627052649	17471.7744	0.752066785	NA	0.920757577	0.92108961	149.1501058772	56.9382467	NA	NA	-2210.5408	NA	NA	0.968570204	642.9750659	540.31277327	0.937553464	19161.5628	0.672586861	0	0.907655576	0.913571502	156.1962211402	NA	134.6151727	77.676926	NA	-520.752399999998	1689.7884	0.964542892	720.6519919	598.337477084	0.901274681
13948.725	0.688183922	NA	0.917027773	0.936370296	133.2669061356	NA	NA	NA	NA	NA	NA	0.976579267	689.2063445	504.684453646	0.91559121	17657.7574	0.604928625	NA	0.86184875	0.919454778	149.941838703	529.9599265	NA	NA	3709.0324	NA	NA	0.968909056	1219.166271	605.648487396	0.887079552	20984.1962	0.405258478	1	0.88518064	0.903806022	163.4561360704	NA	470.1361895	-59.8237370000002	NA	7035.4712	3326.4388	0.964682605	1159.342534	806.649830458	0.804440823
12041.0708	0.469047532	NA	0.90124185	0.943622651	123.8190918226	NA	NA	NA	NA	NA	NA	0.974912013	627.8504821	567.974789982	0.777091907	13613.9556	0.705497618	NA	0.901569824	0.937571751	131.657991131	-12.9672344000001	NA	NA	1572.8848	NA	NA	0.978161437	614.8832477	492.435462654	0.923909124	16775.6666	0.533568296	0	0.884818352	0.922861074	146.1486985964	NA	304.0967689	317.0640033	NA	4734.5958	3161.711	0.966537817	931.947251	628.564452994	0.874757551
16058.3036	0.688859363	NA	0.898809552	0.924464847	142.9897449696	NA	NA	NA	NA	NA	NA	0.964019749	623.586014	541.23949673	0.907780114	18545.162	0.699511212	NA	0.908205556	0.916261759	153.6633776366	-24.44594	NA	NA	2486.8584	NA	NA	0.958398426	599.140074	577.195461676	0.936409981	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
15585.3754	0.466240844	NA	0.896590684	0.927854775	140.8684360746	NA	NA	NA	NA	NA	NA	0.96219715	670.7571328	648.12445332	0.822490185	16759.7252	0.523475442	NA	0.905007928	0.923098724	146.0792417862	6.45703279999998	NA	NA	1174.3498	NA	NA	0.962026559	677.2141656	634.293444312	0.850822768	15882.9482	0.807882449	0	0.898934675	0.928214711	142.2068835818	NA	145.8718404	139.4148076	NA	297.5728	-876.776999999998	0.96256449	816.6289732	497.045796382	0.955868244
12227.0538	0.624735134	NA	0.894800721	0.943676594	124.771665094	NA	NA	NA	NA	NA	NA	0.976231094	658.3523837	495.927142378	0.895679253	15351.5682	0.658872639	NA	0.872892397	0.930071941	139.807809875	456.9720173	NA	NA	3124.5144	NA	NA	0.975645451	1115.324401	541.103780974	0.9028125	14995.5436	0.641714904	1	0.835388517	0.931583493	138.1771294478	NA	721.7995203	264.827503	NA	2768.4898	-356.024600000001	0.975920221	1380.151904	541.894790308	0.897868279
14767.0502	0.407683966	NA	0.888435761	0.920893178	137.1203568942	NA	NA	NA	NA	NA	NA	0.959644182	505.8700233	674.667814072	0.762623491	16866.0012	0.537794193	NA	0.888235067	0.922652972	146.541665386	546.3752547	NA	NA	2098.951	NA	NA	0.962398882	1052.245278	627.77344529	0.859231186	21728.1282	0.419625705	1	0.891210547	0.900198563	166.3283260792	NA	346.7073681	-199.6678866	NA	6961.078	4862.127	0.946687355	852.5773914	806.649831436	0.788013105
18130.6856	0.355177056	NA	0.891919404	0.91544301	151.936519255	NA	NA	NA	NA	NA	NA	0.954519928	541.4115677	800.920839792	0.76485093	16472.78	0.672191256	NA	0.898745927	0.925015793	144.8233230698	272.7312471	NA	NA	-1657.9056	NA	NA	0.962332707	814.1428148	554.934789004	0.902474527	15872.3206	0.706787205	0	0.887916048	0.92777915	142.1592988614	NA	308.6056658	35.8744187	NA	-2258.365	-600.4594	0.963976888	850.0172335	531.227814398	0.925627518
11594.7116	0.753243629	NA	0.894430286	0.946605398	121.5024498564	NA	NA	NA	NA	NA	NA	0.975926228	638.6158325	439.812100598	0.942548596	14676.7156	0.706653271	NA	0.873879298	0.933086297	136.7003097736	458.1302475	NA	NA	3082.004	NA	NA	0.974634876	1096.74608	510.876804412	0.92035988	16818.177	0.491755338	1	0.893720706	0.922861272	146.3337555934	NA	483.5787155	25.448468	NA	5223.4654	2141.4614	0.971966796	1122.194548	655.571175802	0.836195509
