x	y	type	ai	raw_contributions	contributions	info	info_cond	cplx	Nxy_ai	info_shifted	infOrt	trueOrt	isOrtOk	sign	partial_correlation	is_causal	proba	confidence
MeanGreyValue_lag+1	Solidity_lag+2	N	ClassN2_lag+2	1.000000	1.000000	42.84851	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Homogeneity_lag+1	N	Energy_lag+1	1.000000	1.000000	27.168992	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag0	Homogeneity_lag+1	N	Energy_lag+1	1.000000	1.000000	27.168992	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Homogeneity_lag+2	N	EqDiameter_lag+1	1.002402	1.000000	21.512198	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	21.34184	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+1	Homogeneity_lag0	N	Energy_lag0	1.000000	1.000000	21.34184	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+1	Growth2.1_lag+2	N	Perimeter_lag+1	1.000000	1.000000	62.885233	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
MeanGreyValue_lag+1	Perimeter_lag+1	N	Circularity_lag+1	1.000000	1.000000	22.665431	0	0	464	0	0	NA	NA		0	NA	-1;-1	NA
Growth1.0_lag+1	Perimeter_lag+2	N	EqDiameter_lag+1	1.000000	1.000000	20.856426	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
EqDiameter_lag+2	Growth2.0_lag+2	N	Energy_lag+2	1.000000	1.000000	218.780614	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+2	Growth2.0_lag+2	N	Energy_lag+2	1.000000	1.000000	218.780614	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+2	Solidity_lag+2	N	Circularity_lag+2	1.000000	1.000000	25.069592	0	0	462	0	0	NA	NA		0	NA	-1;-1	NA
MeanGreyValue_lag+2	Solidity_lag+1	N	Correlation_lag+1	1.000000	1.000000	20.680538	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Homogeneity_lag+1	Solidity_lag+1	N	Perimeter_lag+1,Energy_lag+1	0.380784,0.619216	0.380784,1.000000	43.95885	0	0	464	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag+1	Energy_lag+2	N	EqDiameter_lag+2	1.000000	1.000000	190.212566	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag+2	EqDiameter_lag+1	N	EqDiameter_lag+2	1.000000	1.000000	190.212566	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Perimeter_lag+2	Perimeter_lag0	N	EqDiameter_lag0	1.000000	1.000000	20.408498	0	0	448	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag+1	Correlation_lag+2	N	Correlation_lag+1	1.000000	1.000000	22.622703	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
MeanGreyValue_lag+1	Perimeter_lag+2	N	Circularity_lag+2	1.000000	1.000000	22.606918	0	0	439	0	0	NA	NA		0	NA	-1;-1	NA
Grey2.0_lag+2	MeanGreyValue_lag0	N	Grey1.0_lag+1	0.843139	1.000000	44.361877	0	0	428	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Circularity_lag0	N	Energy_lag0	1.000000	1.000000	64.0645	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Circularity_lag0	EqDiameter_lag0	N	Energy_lag0	1.000000	1.000000	64.0645	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
Grey1.0_lag+1	Solidity_lag+1	N	Correlation_lag+1	1.000000	1.000000	30.004424	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Energy_lag0	Homogeneity_lag+1	N	Energy_lag+1	1.000000	1.000000	19.58425	0	0	450	0	0	NA	NA		0	NA	-1;-1	NA
Area_lag0	Solidity_lag0	N	Circularity_lag0	1.000000	1.000000	58.161704	0	0	480	0	0	NA	NA		0	NA	-1;-1	NA
